Ref,Val,Package,PosX,PosY,Rot,Side
"D12","D_Schottky","D_SOD-323_HandSoldering",202.275000,-129.875000,90.000000,bottom
"D13","D_Schottky","D_SOD-323_HandSoldering",218.275000,-129.125000,0.000000,bottom
"R7","10k","R_1206_3216Metric",200.812500,-110.525000,0.000000,bottom
"C2","C","C_1206_3216Metric",217.575000,-101.925000,180.000000,top
"R1","470R","R_1206_3216Metric",217.512500,-94.725000,0.000000,top
"R2","470R","R_1206_3216Metric",203.700000,-101.105000,180.000000,top
"R3","47k","R_1206_3216Metric",217.037500,-92.325000,0.000000,top
"R4","47k","R_1206_3216Metric",203.700000,-93.755000,180.000000,top
"R5","10k","R_1206_3216Metric",222.000000,-109.517500,-90.000000,top
"R6","100k","R_1206_3216Metric",217.512500,-99.475000,0.000000,top
"R13","470R","R_1206_3216Metric",217.512500,-97.125000,0.000000,top
"R16","100k","R_1206_3216Metric",204.012500,-120.655000,0.000000,top
"R17","100k","R_1206_3216Metric",204.012500,-118.255000,180.000000,top
"R21","100k","R_1206_3216Metric",203.700000,-98.755000,180.000000,top
"R25","470R","R_1206_3216Metric",203.700000,-96.215000,180.000000,top
"R33","1k","R_1206_3216Metric",217.775000,-124.355000,180.000000,top
"R34","100k","R_1206_3216Metric",217.675000,-118.425000,0.000000,top
"R35","100k","R_1206_3216Metric",217.775000,-121.955000,0.000000,top
"R36","1k","R_1206_3216Metric",201.075000,-123.525000,0.000000,top
"R38","100k","R_1206_3216Metric",203.975000,-113.355000,0.000000,top
"R39","100k","R_1206_3216Metric",203.990000,-115.839000,0.000000,top
"R41","100k","R_1206_3216Metric",217.712500,-115.755000,0.000000,top
"R42","100k","R_1206_3216Metric",217.775000,-113.355000,0.000000,top
"U2","TL074","SOIC-14_3.9x8.7mm_P1.27mm",211.275000,-118.155000,0.000000,top
"U18","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",210.320000,-97.480000,0.000000,top
