Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric",218.925000,-86.945000,0.000000,top
"C2","100n","C_1206_3216Metric",225.800000,-99.770000,180.000000,top
"C3","100n","C_1206_3216Metric",219.500000,-68.659250,180.000000,top
"D12","D_Schottky","D_SOD-323_HandSoldering",210.500000,-127.720000,90.000000,top
"D13","D_Schottky","D_SOD-323_HandSoldering",226.500000,-126.970000,0.000000,top
"Q1","BC857","SOT-23",221.407500,-73.083000,-90.000000,top
"Q2","BC857","SOT-23",207.262500,-86.845000,-90.000000,top
"R1","470R","R_1206_3216Metric",225.737500,-92.570000,0.000000,top
"R2","470R","R_1206_3216Metric",211.925000,-98.950000,180.000000,top
"R3","47k","R_1206_3216Metric",225.725000,-90.170000,0.000000,top
"R4","47k","R_1206_3216Metric",211.925000,-91.600000,180.000000,top
"R5","10k","R_1206_3216Metric",228.825000,-104.345000,-90.000000,top
"R6","100k","R_1206_3216Metric",225.737500,-97.320000,0.000000,top
"R7","10k","R_1206_3216Metric",212.225000,-108.745000,180.000000,top
"R8","100k","R_1206_3216Metric",211.762500,-80.645000,0.000000,top
"R9","100k","R_1206_3216Metric",211.772500,-83.095000,180.000000,top
"R10","47k","R_1206_3216Metric",211.700000,-75.745000,0.000000,top
"R11","10k","R_1206_3216Metric",211.725000,-78.245000,180.000000,top
"R12","10k","R_1206_3216Metric",211.725000,-73.245000,180.000000,top
"R13","470R","R_1206_3216Metric",225.737500,-94.970000,0.000000,top
"R14","100k","R_1206_3216Metric",211.762500,-85.545000,0.000000,top
"R15","100k","R_1206_3216Metric",211.825000,-88.245000,180.000000,top
"R16","100k","R_1206_3216Metric",212.237500,-118.500000,0.000000,top
"R17","100k","R_1206_3216Metric",212.237500,-116.100000,180.000000,top
"R18","100k","R_1206_3216Metric",225.725000,-87.745000,180.000000,top
"R19","100k","R_1206_3216Metric",225.725000,-85.345000,180.000000,top
"R20","10k","R_1206_3216Metric",225.813500,-75.865000,0.000000,top
"R21","100k","R_1206_3216Metric",211.925000,-96.600000,180.000000,top
"R22","47k","R_1206_3216Metric",225.813500,-78.265000,0.000000,top
"R23","100k","R_1206_3216Metric",225.789500,-82.965000,0.000000,top
"R24","100k","R_1206_3216Metric",225.813500,-80.565000,180.000000,top
"R25","470R","R_1206_3216Metric",211.925000,-94.060000,180.000000,top
"R26","10k","R_1206_3216Metric",225.825000,-73.445000,0.000000,top
"R27","100k","R_1206_3216Metric",211.787500,-68.145000,180.000000,top
"R28","10k","R_1206_3216Metric",207.025000,-83.045000,180.000000,top
"R29","100k","R_1206_3216Metric",211.987500,-63.045000,180.000000,top
"R30","100k","R_1206_3216Metric",225.900000,-63.210000,0.000000,top
"R31","100k","R_1206_3216Metric",225.900000,-65.710000,180.000000,top
"R32","100k","R_1206_3216Metric",211.887500,-65.545000,180.000000,top
"R33","1k","R_1206_3216Metric",226.000000,-122.200000,180.000000,top
"R34","100k","R_1206_3216Metric",225.900000,-116.270000,0.000000,top
"R35","100k","R_1206_3216Metric",226.000000,-119.800000,0.000000,top
"R36","1k","R_1206_3216Metric",209.300000,-121.370000,0.000000,top
"R37","1k","R_1206_3216Metric",225.862500,-68.110000,0.000000,top
"R38","100k","R_1206_3216Metric",212.200000,-111.200000,0.000000,top
"R39","100k","R_1206_3216Metric",212.215000,-113.684000,0.000000,top
"R40","1k","R_1206_3216Metric",211.825000,-70.745000,180.000000,top
"R41","100k","R_1206_3216Metric",225.937500,-113.600000,0.000000,top
"R42","100k","R_1206_3216Metric",226.000000,-111.200000,0.000000,top
"R43","1k","R_1206_3216Metric",225.987500,-108.745000,0.000000,top
"R83","10k","R_1206_3216Metric",217.087500,-73.145000,0.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",218.887500,-80.115000,0.000000,top
"U2","TL074","SOIC-14_3.9x8.7mm_P1.27mm",219.500000,-116.000000,0.000000,top
"U3","TL072","SOIC-8_3.9x4.9mm_P1.27mm",219.400000,-64.510000,0.000000,top
"U18","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",218.545000,-95.325000,0.000000,top
